Barcode	Read_Count	Percentage_of_Reads	Taxon_ID	Taxon_Path	Taxon_Rank	Species	Type of pest	Pest Name	UK	Likelihood (unmitigated)	Impact (unmitigated)	Risk Rating (unmitigated)	Regulation	Likelihood (mitigated)	Impact (mitigated)	Risk Rating (mitigated)	Scenario for Risk Register	Regulated	Natural Spread
12	75	0.11	48097	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Panax,Alternaria panax	species	Alternaria panax	Fungus	Alternaria panax	Absent	3.0	4.0	24.0		3.0	4.0	24.0	Pest is introduced	No	No
12	57	0.08	86259	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Venturiales,Venturiaceae,Venturia,Venturia nashicola	species	Venturia nashicola	Fungus	Venturia nashicola	Absent	3.0	3.0	9.0	Regulated quarantine pest (Northern Ireland)	1.0	3.0	3.0	Pest is introduced	Yes	No
12	55	0.08	119933	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Stemphylium,Stemphylium vesicarium	species	Stemphylium vesicarium	Fungus	Stemphylium vesicarium	Present (Widespread)	3.0	3.0	36.0		3.0	3.0	36.0	Pest spreads to maximum extent	No	No
12	52	0.08	5599	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Alternaria,Alternaria alternata complex,Alternaria alternata	species	Alternaria alternata													
12	36	0.05	48100	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Porri,Alternaria solani	species	Alternaria solani													
12	29	0.04	160389	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Alternaria,Alternaria longipes	species	Alternaria longipes													
12	28	0.04	167740	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Alternaria,Alternaria gaisen	species	Alternaria gaisen	Fungus	Alternaria gaisen	Absent	3.0	3.0	9.0		3.0	3.0	9.0	Pest is introduced	No	No
12	23	0.03	5180	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Sclerotinia sclerotiorum	species	Sclerotinia sclerotiorum	Fungus	Sclerotinia sclerotiorum	Present (Widespread)									No	No
12	19	0.03	40997	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Myriangiales,Elsinoaceae,Elsinoe,Elsinoe fawcettii	species	Elsinoe fawcettii	Fungus	Elsinoe fawcettii	Absent	0.0	0.0	1.0	Regulated quarantine pest (Northern Ireland)	0.0	0.0	1.0	Pest is introduced	Yes	No
12	18	0.03	27334	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium,Penicillium expansum	species	Penicillium expansum													
12	16	0.02	331382	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Pucciniomycotina,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia horiana	species	Puccinia horiana	Fungus	Puccinia horiana	Present (Limited)	3.0	2.0	18.0	Regulated non quarantine pest	2.0	2.0	12.0	Pest spreads to maximum extent	No	No
12	16	0.02	40559	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea	species	Botrytis cinerea	Fungus	Botrytis cinerea	Present (Widespread)									No	No
12	15	0.02	1047171	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Zymoseptoria,Zymoseptoria tritici	species	Zymoseptoria tritici													
12	12	0.02	40296	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium,Penicillium italicum	species	Penicillium italicum													
12	11	0.02	27357	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum acutatum species complex,Colletotrichum acutatum	species	Colletotrichum acutatum	Fungus	Colletotrichum acutatum	Present (Widespread)	3.0	4.0	60.0	Regulated non quarantine pest	2.0	4.0	40.0	Pest spreads to maximum extent	No	No
12	10	0.01	230439	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Peronospora,Peronospora tabacina	species	Peronospora tabacina													
12	8	0.01	914237	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Ploettnerulaceae,Rhynchosporium,Rhynchosporium commune	species	Rhynchosporium commune													
12	7	0.01	13164	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Mandibulata,Pancrustacea,Hexapoda,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Sternorrhyncha,Aphidomorpha,Aphidoidea,Aphididae,Aphidinae,Macrosiphini,Myzus,Myzus persicae	species	Myzus persicae													
12	7	0.01	5499	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Fulvia,Fulvia fulva	species	Fulvia fulva													
12	7	0.01	121618	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Botryosphaeriales,Botryosphaeriaceae,Neofusicoccum,Neofusicoccum laricinum	species	Neofusicoccum laricinum													
12	7	0.01	40998	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Myriangiales,Elsinoaceae,Elsinoe,Elsinoe australis	species	Elsinoe australis	Fungus	Elsinoe australis	Absent	0.0	0.0	1.0	Regulated quarantine pest (Northern Ireland)	0.0	0.0	1.0	Pest is introduced	Yes	No
12	6	0.01	255361	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Sclerotiniaceae,Monilinia,Monilinia polystroma	species	Monilinia polystroma	Fungus	Monilinia polystroma	Absent	4.0	2.0	32.0		4.0	2.0	32.0	Pest is introduced	No	No
12	5	0.01	82101	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Pucciniomycotina,Pucciniomycetes,Pucciniales,Melampsoraceae,Melampsora,Melampsora medusae	species	Melampsora medusae	Fungus	Melampsora medusae	Absent	4.0	3.0	36.0	Regulated quarantine pest	2.0	3.0	18.0	Pest is introduced	Yes	No
12	5	0.01	1592451	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium zeae	species	Aureobasidium zeae													
12	4	0.01	36651	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium,Penicillium digitatum	species	Penicillium digitatum													
12	4	0.01	29003	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora nicotianae	species	Cercospora nicotianae													
12	4	0.01	2021124	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,Botryosphaeria kuwatsukai	species	Botryosphaeria kuwatsukai	Fungus	Botryosphaeria kuwatsukai	Absent	3.0	3.0	36.0	Regulated quarantine pest	1.0	3.0	12.0	Pest is introduced	Yes	No
12	4	0.01	100787	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium longisporum	species	Verticillium longisporum													
12	4	0.01	111012	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Lecanosticta,Lecanosticta acicola	species	Lecanosticta acicola	Fungus	Lecanosticta acicola	Absent	4.0	3.0	60.0	Regulated quarantine pest (Great Britain.) Northern Ireland: Regulated non quarantine pest	3.0	3.0	45.0	Pest is introduced	Yes	No
12	3	0.00	236234	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia corticola	species	Diplodia corticola	Fungus	Diplodia corticola	Absent	2.0	2.0	20.0		2.0	2.0	20.0	Pest is introduced	No	No
12	3	0.00	5454	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Didymellaceae,Ascochyta,Ascochyta rabiei	species	Ascochyta rabiei													
12	3	0.00	746128	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Fumigati,Aspergillus fumigatus	species	Aspergillus fumigatus													
12	3	0.00	858812	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora pini-densiflorae	species	Pseudocercospora pini-densiflorae	Fungus	Pseudocercospora pini-densiflorae	Absent	3.0	3.0	45.0	Regulated quarantine pest	2.0	3.0	30.0	Pest is introduced	Yes	No
12	3	0.00	45133	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia theobromae	species	Lasiodiplodia theobromae													
12	2	0.00	64363	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Dothistroma,Dothistroma septosporum	species	Dothistroma septosporum	Fungus	Dothistroma septosporum	Present (Limited)	3.0	5.0	75.0	Regulated non quarantine pest	2.0	5.0	50.0	Pest spreads to maximum extent	No	No
12	2	0.00	135779	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora zeae-maydis	species	Cercospora zeae-maydis													
12	2	0.00	218668	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,Gnomoniaceae,Ophiognomonia,Ophiognomonia clavigignenti-juglandacearum	species	Ophiognomonia clavigignenti-juglandacearum	Fungus	Ophiognomonia clavigignenti-juglandacearum	Absent	3.0	5.0	15.0	Juglans is a high risk host; temporarily prohibited	1.0	5.0	5.0	Pest is introduced	No	No
12	2	0.00	42373	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma novo-ulmi	species	Ophiostoma novo-ulmi	Fungus	Ophiostoma novo-ulmi	Present (Widespread)	4.0	4.0	48.0	UK General Powers / Dutch Elm Disease (Local Authorities) Order 1984	3.0	4.0	36.0	Pest spreads to maximum extent	No	Yes
12	2	0.00	5503	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Curvularia,Curvularia lunata	species	Curvularia lunata													
12	2	0.00	122368	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora beticola	species	Cercospora beticola													
12	2	0.00	278938	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis elliptica	species	Botrytis elliptica													
12	2	0.00	231936	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,Pezizomycetes,Pezizales,Rhizinaceae,Phymatotrichopsis,Phymatotrichopsis omnivora	species	Phymatotrichopsis omnivora	Fungus	Phymatotrichopsis omnivora	Absent	1.0	2.0	10.0	Regulated quarantine pest	1.0	2.0	10.0	Pest is introduced	Yes	No
12	2	0.00	1873960	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora fijiensis	species	Pseudocercospora fijiensis													
12	2	0.00	27337	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae	species	Verticillium dahliae	Fungus	Verticillium dahliae	Present (Widespread)	4.0	3.0	60.0	Regulated non quarantine pest	2.0	3.0	30.0	Pest spreads to maximum extent	No	No
12	2	0.00	1200837	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Didymellaceae,Stagonosporopsis,Stagonosporopsis chrysanthemi	species	Stagonosporopsis chrysanthemi	Fungus	Stagonosporopsis chrysanthemi	Present (Limited)	4.0	4.0	48.0		2.0	4.0	24.0	Pest spreads to maximum extent	No	No
12	2	0.00	4781	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Plasmopara,Plasmopara halstedii	species	Plasmopara halstedii	Oomycete	Plasmopara halstedii	Absent	2.0	3.0	6.0	Regulated non quarantine pest	2.0	3.0	6.0	Pest is introduced	No	No
12	2	0.00	53485	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Pyrenophora,Pyrenophora teres	species	Pyrenophora teres													
12	1	0.00	1214568	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe amygdali	species	Diaporthe amygdali	Fungus	Diaporthe amygdali	Absent	3.0	2.0	18.0		3.0	2.0	18.0	Pest is introduced	No	No
12	1	0.00	5530	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae	species	Metarhizium anisopliae													
12	1	0.00	55181	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Phyllosticta citricarpa	species	Phyllosticta citricarpa	Fungus	Phyllosticta citricarpa	Absent	0.0	0.0	1.0	Regulated quarantine pest (Northern Ireland)	0.0	0.0	1.0	Pest is introduced	Yes	No
12	1	0.00	31870	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum graminicola species complex,Colletotrichum graminicola	species	Colletotrichum graminicola													
12	1	0.00	169388	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium solani species complex,Fusarium solani	species	Fusarium solani													
12	1	0.00	208348	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Pucciniomycotina,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia triticina	species	Puccinia triticina													
12	1	0.00	708187	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum chlorophyti	species	Colletotrichum chlorophyti	Fungus	Colletotrichum chlorophyti	Unknown									No	No
12	1	0.00	2035	root,cellular organisms,Bacteria,Terrabacteria group,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,Curtobacterium flaccumfaciens	species	Curtobacterium flaccumfaciens	Bacterium	Curtobacterium flaccumfaciens pv. poinsettiae	Absent	3.0	2.0	18.0		2.0	2.0	12.0	Pest is introduced	No	No
12	1	0.00	53983	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora cambivora	species	Phytophthora cambivora	Fungus	Phytophthora cambivora	Present (Widespread)									No	No
12	1	0.00	5467	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum truncatum species complex,Colletotrichum truncatum	species	Colletotrichum truncatum	Fungus	Colletotrichum truncatum	Unknown									No	No
12	1	0.00	305	root,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum species complex,Ralstonia solanacearum	species	Ralstonia solanacearum	Bacterium	Ralstonia solanacearum	Present (Limited)	4.0	5.0	100.0	Regulated quarantine pest.	2.0	3.0	30.0	Pest spreads to maximum extent	Yes	No
12	1	0.00	5270	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Ustilaginomycotina,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago maydis	species	Ustilago maydis													
12	1	0.00	29908	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Ophiostomatales,Ophiostomataceae,Sporothrix,Sporothrix schenckii	species	Sporothrix schenckii													
12	1	0.00	1828	root,cellular organisms,Bacteria,Terrabacteria group,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus fascians	species	Rhodococcus fascians	Bacterium	Rhodococcus fascians	Present (Widespread)									No	No
12	1	0.00	38492	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Sclerotiniaceae,Stromatinia,Stromatinia cepivora	species	Stromatinia cepivora	Fungus	Stromatinia cepivora	Present (Widespread)									No	No
12	1	0.00	1803897	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex,Fusarium agapanthi	species	Fusarium agapanthi	Fungus	Fusarium agapanthi	Present (Unknown Distribution)	4.0	2.0	8.0		4.0	2.0	8.0	Pest spreads to maximum extent	No	No
12	1	0.00	5059	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati,Aspergillus flavus	species	Aspergillus flavus													
12	1	0.00	121759	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Onygenales,Onygenales incertae sedis,Paracoccidioides,Paracoccidioides brasiliensis	species	Paracoccidioides brasiliensis													
12	1	0.00	148305	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia grisea	species	Pyricularia grisea	Fungus	Pyricularia grisea	Absent	2.0	3.0	30.0		2.0	3.0	30.0	Pest is introduced	No	No
12	1	0.00	60444	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe caulivora	species	Diaporthe caulivora	Fungus	Diaporthe caulivora	Absent	1.0	2.0	2.0	Regulated non quarantine pest (Northern Ireland)	1.0	2.0	2.0	Pest is introduced	No	No
12	1	0.00	363177	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,Microstromatales,Quambalariaceae,Quambalaria,Quambalaria eucalypti	species	Quambalaria eucalypti	Fungus	Quambalaria eucalypti	Absent	3.0	1.0	6.0		3.0	1.0	6.0	Pest is introduced	No	No
12	1	0.00	310453	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Botryosphaeriales,Botryosphaeriaceae,Neofusicoccum,Neofusicoccum parvum	species	Neofusicoccum parvum	Fungus	Neofusicoccum parvum	Present (Unknown Distribution)	3.0	2.0	30.0		3.0	2.0	30.0	Pest spreads to maximum extent	No	No
12	1	0.00	332034	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Dothistroma,Dothistroma pini	species	Dothistroma pini	Fungus	Dothistroma pini	Absent	3.0	3.0	45.0	Regulated quarantine pest (Great Britain) Northern Ireland: Regulated non quarantine pest	2.0	3.0	30.0	Pest is introduced	Yes	No
12	1	0.00	285811	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pseudopyrenochaetaceae,Pseudopyrenochaeta,Pseudopyrenochaeta lycopersici	species	Pseudopyrenochaeta lycopersici													
12	1	0.00	45151	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Pyrenophora,Pyrenophora tritici-repentis	species	Pyrenophora tritici-repentis													
12	1	0.00	5037	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Histoplasma,Histoplasma capsulatum	species	Histoplasma capsulatum													
12	1	0.00	238245	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,Stenocarpella,Stenocarpella maydis	species	Stenocarpella maydis	Fungus	Stenocarpella maydis	Present (Unknown Distribution)	3.0	2.0	18.0		3.0	2.0	18.0	Pest is introduced	No	No
